deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0, val : 1, +1mili value : 0
deriv1 : 0, val : 1, +1mili value : 0
deriv1 : 0, val : 1, +1mili value : 0
deriv1 : 0, val : 1, +1mili value : 0
deriv1 : -2.59052, val : 1.10794, +1mili value : -2.22643
deriv1 : -2.59052, val : 1.10794, +1mili value : -2.46729
deriv1 : 0, val : 1, +1mili value : 0
deriv1 : 0, val : 1, +1mili value : 0
deriv1 : 0, val : 28.7644, +1mili value : 0
deriv1 : 0, val : -6.99072, +1mili value : 0
deriv1 : 0, val : -7.13699, +1mili value : 0
deriv1 : 0, val : 19.4266, +1mili value : 0
deriv1 : 0, val : 19.4266, +1mili value : 0
deriv1 : 0, val : 36.7546, +1mili value : 0
deriv1 : 0, val : 36.7546, +1mili value : 0
deriv1 : 0, val : 36.7546, +1mili value : 0
deriv1 : 0, val : 36.7546, +1mili value : 0
deriv1 : 0, val : 19.4266, +1mili value : 0
deriv1 : 0, val : 19.4266, +1mili value : 0
deriv1 : 0, val : 19.4266, +1mili value : 0
deriv1 : 0, val : 1.65331, +1mili value : 0
deriv1 : 74.5263, val : 16.2398, +1mili value : 73.3374
deriv1 : 74.5263, val : 16.2398, +1mili value : 73.3374
deriv1 : -156.702, val : -28.0847, +1mili value : -154.202
deriv1 : 0, val : -28.0847, +1mili value : 0
deriv1 : -128.442, val : -69.0686, +1mili value : -125.985
deriv1 : 0, val : -69.0686, +1mili value : 0
deriv1 : 0, val : -69.0686, +1mili value : 0
deriv1 : 0, val : 21.3673, +1mili value : 0
deriv1 : -0.111889, val : 40.6639, +1mili value : -0.101248
deriv1 : 0, val : 40.6639, +1mili value : 0
deriv1 : 0, val : 40.6639, +1mili value : 0
deriv1 : 0, val : -64.1451, +1mili value : 0
deriv1 : 31.2932, val : 40.1026, +1mili value : 26.8951
deriv1 : 31.2932, val : 40.1026, +1mili value : 31.0624
deriv1 : 0, val : 83.451, +1mili value : -75.6616
deriv1 : 15.9719, val : 21.3673, +1mili value : 15.5903
deriv1 : 0, val : 26.6935, +1mili value : 0
deriv1 : 0, val : 19.4266, +1mili value : 0
deriv1 : 0, val : 19.4266, +1mili value : 0
deriv1 : 0, val : 19.4266, +1mili value : 0
deriv1 : 0, val : 19.4266, +1mili value : 0
deriv1 : -98.7645, val : 19.4266, +1mili value : -95.623
deriv1 : 309.551, val : 29.3758, +1mili value : 280.369
deriv1 : 0, val : 19.4266, +1mili value : 0
deriv1 : 0, val : 6.05482, +1mili value : 0
deriv1 : 0, val : 19.4266, +1mili value : 0
deriv1 : 0, val : 21.8862, +1mili value : 0
deriv1 : 0, val : -54.6592, +1mili value : 0
deriv1 : 0, val : -54.6592, +1mili value : 0
deriv1 : 0, val : -54.6592, +1mili value : 0
deriv1 : 0, val : -54.6592, +1mili value : 0
deriv1 : 11.0644, val : 19.4266, +1mili value : 10.8
deriv1 : 0, val : -0.0501447, +1mili value : 2.22171e-005
deriv1 : 0, val : -0.0492171, +1mili value : -2.22171e-005
deriv1 : 0, val : -0.0476921, +1mili value : 1.96851e-005
deriv1 : 0.000561178, val : -0.0480974, +1mili value : 0.00055628
deriv1 : 0, val : -0.0906045, +1mili value : 0
deriv1 : 0, val : -0.0476921, +1mili value : 0
deriv1 : 0, val : -0.0476921, +1mili value : 0
deriv1 : 0, val : -0.0476921, +1mili value : 0
deriv1 : 0, val : -0.0622943, +1mili value : 0
deriv1 : 0, val : -0.0409175, +1mili value : -0.000579366
deriv1 : 0, val : -0.0420662, +1mili value : 5.77658e-007
deriv1 : 0, val : -0.0409175, +1mili value : -0.000579366
deriv1 : 0, val : -0.0420662, +1mili value : 5.77658e-007
deriv1 : 0, val : -0.0476921, +1mili value : 0
deriv1 : 0, val : -0.0476921, +1mili value : 0
deriv1 : 1.52973, val : 0.041137, +1mili value : 1.45696
deriv1 : 0, val : -0.0476921, +1mili value : 0
deriv1 : 0, val : -0.0476921, +1mili value : 0
deriv1 : -0.029927, val : -0.0484715, +1mili value : -0.0294497
deriv1 : -0.029927, val : -0.0484715, +1mili value : -0.0294497
deriv1 : -0.0249647, val : -0.0484715, +1mili value : -0.0243683
deriv1 : 0, val : -0.0484715, +1mili value : 0
deriv1 : 0, val : -0.0484715, +1mili value : 0
deriv1 : 0, val : -0.0484715, +1mili value : 0
deriv1 : 0, val : -0.0482848, +1mili value : -4.00821e-005
deriv1 : 0, val : -0.0484715, +1mili value : 0
deriv1 : -0.000797642, val : 0.00740057, +1mili value : -0.000722459
deriv1 : 0, val : 0.00740057, +1mili value : 0
deriv1 : 0, val : 0.00740057, +1mili value : 0
deriv1 : 0, val : 0.056524, +1mili value : 0
deriv1 : 0.222888, val : -0.0513689, +1mili value : 0.191562
deriv1 : 0.222888, val : -0.0513689, +1mili value : 0.221244
deriv1 : 0.00287256, val : -0.0531642, +1mili value : 0.00273587
deriv1 : 0, val : -0.0531642, +1mili value : 0
deriv1 : -0.013422, val : -0.0599691, +1mili value : -0.0133272
deriv1 : 0, val : -0.0678947, +1mili value : 0.0354229
deriv1 : -0.401101, val : -0.0484715, +1mili value : -0.391518
deriv1 : 0, val : -0.0484715, +1mili value : 0
deriv1 : 0, val : -0.0484715, +1mili value : 0
deriv1 : 0, val : -0.0484715, +1mili value : 4.81838e-005
deriv1 : 0, val : -0.0476921, +1mili value : 0
deriv1 : 0, val : -0.0476921, +1mili value : 0
deriv1 : 0, val : -0.0476921, +1mili value : 0
deriv1 : -0.301865, val : -0.0476921, +1mili value : -0.292264
